name,image_filepath,original_image_url,party,state,chamber,district
Ross C. Paustian,/Users/patrick/nra_score_map/img/ia/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=9407,https://www.legis.iowa.gov/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=9407,Republican,ia,House,92
Wes Breckenridge,/Users/patrick/nra_score_map/img/ia/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=18033,https://www.legis.iowa.gov/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=18033,Democratic,ia,House,29
Dennis Guth,/Users/patrick/nra_score_map/img/ia/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=10726,https://www.legis.iowa.gov/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=10726,Republican,ia,Senate,4
Todd Prichard,/Users/patrick/nra_score_map/img/ia/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=12235,https://www.legis.iowa.gov/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=12235,Democratic,ia,House,52
Chris Hall,/Users/patrick/nra_score_map/img/ia/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=9388,https://www.legis.iowa.gov/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=9388,Democratic,ia,House,13
William A. Dotzler Jr.,/Users/patrick/nra_score_map/img/ia/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=157,https://www.legis.iowa.gov/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=157,Democratic,ia,Senate,31
Jack Whitver,/Users/patrick/nra_score_map/img/ia/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=9768,https://www.legis.iowa.gov/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=9768,Republican,ia,Senate,19
Charles Schneider,/Users/patrick/nra_score_map/img/ia/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=10829,https://www.legis.iowa.gov/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=10829,Republican,ia,Senate,22
Stan Gustafson,/Users/patrick/nra_score_map/img/ia/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=12712,https://www.legis.iowa.gov/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=12712,Republican,ia,House,25
Jim Carlin,/Users/patrick/nra_score_map/img/ia/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=18041,https://www.legis.iowa.gov/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=18041,Republican,ia,Senate,3
Tony Bisignano,/Users/patrick/nra_score_map/img/ia/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=906,https://www.legis.iowa.gov/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=906,Democratic,ia,Senate,17
Jon Thorup,/Users/patrick/nra_score_map/img/ia/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=27021,https://www.legis.iowa.gov/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=27021,Republican,ia,House,28
Zach Wahls,/Users/patrick/nra_score_map/img/ia/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=27002,https://www.legis.iowa.gov/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=27002,Democratic,ia,Senate,37
Todd E. Taylor,/Users/patrick/nra_score_map/img/ia/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=54,https://www.legis.iowa.gov/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=54,Democratic,ia,Senate,35
Zach Nunn,/Users/patrick/nra_score_map/img/ia/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=14803,https://www.legis.iowa.gov/photo?action=getPhoto&amp;ga=2019-2020&amp;pid=14803,Republican,ia,Senate,15
